STREET NAME ID,STREET PREFIX DIRECTION,STREET PREFIX TYPE,STREET NAME,STREET SUFFIX TYPE,STREET SUFFIX DIRECTION,STREET EXTENSION,POSTAL COMMUNITY,MUNICIPAL COMMUNITY,NOTATION,PRIVATE STREET,FRONTAGE ROAD
1600,,,EDGEN,AVE,,,SLAUGHTER,PARISH,,NO,NO
1400338,,,PRIVATE STREET,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600001,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600002,,,PUBLIC DRIVE,,,,ZACHARY,PARISH,,NO,NO
1600003,,,PUBLIC DRIVE,,,,ZACHARY,ZACHARY,,NO,NO
1600004,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600005,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600006,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600008,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600009,,,PUBLIC DRIVE,,,,CENTRAL,CENTRAL,,NO,NO
1600010,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600011,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600012,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600015,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600016,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600017,,,PUBLIC DRIVE,,,,CENTRAL,CENTRAL,,NO,NO
1600018,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600019,,,PUBLIC DRIVE,,,,CENTRAL,CENTRAL,,NO,NO
1600020,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600021,,,PUBLIC DRIVE,,,,BAKER,PARISH,,NO,NO
1600022,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600023,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600024,,,PUBLIC DRIVE,,,,PRIDE,PARISH,,NO,NO
1600025,,,PUBLIC DRIVE,,,,ZACHARY,ZACHARY,,NO,NO
1600026,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600027,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600028,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600029,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600030,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600032,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600033,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600034,,,PUBLIC DRIVE,,,,ZACHARY,ZACHARY,,NO,NO
1600035,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600036,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600037,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600038,,,PUBLIC DRIVE,,,,BAKER,PARISH,,NO,NO
1600041,,,PUBLIC DRIVE,,,,ZACHARY,PARISH,,NO,NO
1600042,,,PUBLIC DRIVE,,,,ZACHARY,PARISH,,NO,NO
1600043,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600044,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600045,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600046,,,PUBLIC DRIVE,,,,BAKER,BAKER,,NO,NO
1600047,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600048,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600049,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600050,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600051,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600055,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600056,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600058,,,PUBLIC DRIVE,,,,CLINTON,PARISH,,NO,NO
1600059,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600060,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600062,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600063,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600064,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600065,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600067,,,PUBLIC DRIVE,,,,BAKER,PARISH,,NO,NO
1600068,,,PUBLIC DRIVE,,,,BAKER,PARISH,,NO,NO
1600069,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600070,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600071,,,PUBLIC DRIVE,,,,CENTRAL,CENTRAL,,NO,NO
1600073,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600074,,,PUBLIC DRIVE,,,,PRIDE,PARISH,,NO,NO
1600076,,,PUBLIC DRIVE,,,,CENTRAL,CENTRAL,,NO,NO
1600078,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600079,,,PUBLIC DRIVE,,,,BAKER,PARISH,,NO,NO
1600080,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600082,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600083,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600085,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600086,,,PUBLIC DRIVE,,,,GREENWELL SPRINGS,CENTRAL,,NO,NO
1600087,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600090,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600091,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600092,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600093,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600094,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600095,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600096,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600097,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600098,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600099,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600100,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600101,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600102,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600103,,,PUBLIC DRIVE,,,,BATON ROUGE,PARISH,,NO,NO
1600104,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600105,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600106,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600107,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600108,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600109,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600110,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600111,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600112,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
1600113,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,NO
